SERVICE_REQUEST_ID	STATUS	SERVICE_NAME	SERVICE_CODE	DESCRIPTION	AGENCY_RESPONSIBLE	REQUESTED_DATETIME	UPDATED_DATETIME	EXPECTED_DATETIME	ADDRESS	ZIPCODE	LATITUDE	LONGITUDE	REQUESTED_DATE	UPDATED_DATE	LAST_TABLE_UPDATE
SR22018135	CLOS	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	""" """	Public Services	2022-02-25	2022-03-09	2022-03-11	"""3661 WASHINGTON AV - GJ1647436535 """	45229	39.1511130537364	-84.4948909735022	02/25/2022 12:00:00 AM	03/09/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22020070	CLOS	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""mattress"""	Public Services	2022-03-03	2022-03-18	2022-03-17	"""2810 ORLAND AV - GJ0968134734 """	45211	39.1365617681184	-84.5739922796738	03/03/2022 12:00:00 AM	03/18/2022 12:00:00 AM	03/20/2022 12:00:00 AM
SR22094861	NEW	"""Trash cart, registration"""	"""TRSHCRTR"""	"""1 set of registration stickers"""	Public Services	2022-10-20	2022-10-20	2022-11-11	"""3316 SAFFER ST - GJ0996835658 """	45211	39.1448132046672	-84.5703843450027	10/20/2022 12:00:00 AM	10/20/2022 12:00:00 AM	10/20/2022 12:00:00 AM
SR22068040	CLOS	"""Trash, request for new service"""	"""TRSHRQNS"""	"""NEED TRASH CART"""	Public Services	2022-07-25	2022-07-25	2022-08-01	"""1355 BURDETTE AV - GJ1781033976 """	45206	39.1277399070736	-84.4802686490917	07/25/2022 12:00:00 AM	07/25/2022 12:00:00 AM	07/25/2022 12:00:00 AM
SR21107871	CLOS	"""Trash, request for collection"""	"""RF-COLLT"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2021-12-27	2021-12-27	2022-01-03	"""639 FOREST AV, CINC - GJ1665435906"""	45229	39.1454086741357	-84.4929903713201	12/27/2021 12:00:00 AM	12/27/2021 12:00:00 AM	12/27/2021 12:00:00 AM
SR22053167	NEW	"""Pothole, repair"""	"""PTHOLE"""	"""POTHOLE REPAIR- 2 POTHOLES IN THE MIDDLE OF THE STREET """	Public Services	2022-06-13	2022-06-13	2022-06-25	"""2295 GRANDIN RD - GJ2010034134 """	45208	39.1285854624438	-84.4537453474624	06/13/2022 12:00:00 AM	06/13/2022 12:00:00 AM	06/13/2022 12:00:00 AM
SR22043910	NEW	"""Trash cart, exemption"""	"""TRSHCRTE"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Public Services	2022-05-17	2022-05-17	2022-05-31	"""1601 ROSS AV, CINC - """	45205	39.116816408867	-84.5727013813993	05/17/2022 12:00:00 AM	05/17/2022 12:00:00 AM	05/17/2022 12:00:00 AM
SR22087678	CLOS	"""Sign, down/missing stop sign"""	"""SGNDNA"""	"""STOP SIGN DOWN"""	Public Services	2022-09-23	2022-09-23	2022-09-24	"""HILLSIDE AV & RAPID RUN RD - GJ0031031282 """	45233	39.1076879302095	-84.6833418761652	09/23/2022 12:00:00 AM	09/23/2022 12:00:00 AM	09/23/2022 12:00:00 AM
SR21055178	CLOS	"""Building, residential"""	"""BLD-RES"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Cinc Building Dept	2021-06-26	2021-07-01	2022-06-26	"""3436 PRICE AV, CINC - GJ1034431515"""	45205	39.107429580023	-84.5673029398019	06/26/2021 12:00:00 AM	07/01/2021 12:00:00 AM	07/01/2021 12:00:00 AM
SR22063191	NEW	"""Metal Furniture, Spec Collectn"""	"""MTL-FRN"""	"""SPECIAL COLLECTION """	Public Services	2022-07-11	2022-07-11	2022-07-25	"""2794 QUEEN CITY AV - GJ0786534446 """	45238	39.1344029798158	-84.5950762790569	07/11/2022 12:00:00 AM	07/11/2022 12:00:00 AM	07/11/2022 12:00:00 AM
