SERVICE_REQUEST_ID	STATUS	SERVICE_NAME	SERVICE_CODE	DESCRIPTION	AGENCY_RESPONSIBLE	REQUESTED_DATETIME	UPDATED_DATETIME	EXPECTED_DATETIME	ADDRESS	ZIPCODE	LATITUDE	LONGITUDE	REQUESTED_DATE	UPDATED_DATE	LAST_TABLE_UPDATE
SR21000495	OPEN	"""Building, residential"""	"""BLD-RES"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Cinc Building Dept	2021-01-04	2021-01-04	2022-01-04	"""3024 HACKBERRY ST, CINC - GJ1830934516"""	45206	39.1324854022541	-84.4743196237978	01/04/2021 12:00:00 AM	01/04/2021 12:00:00 AM	01/04/2021 12:00:00 AM
SR21001191	NEW	"""Building, residential"""	"""BLD-RES"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Cinc Building Dept	2021-01-06	2021-01-06	2022-01-06	"""2929 FAIRFIELD AV, CINC - GJ1845734356"""	45206	39.1310060582993	-84.4726525520056	01/06/2021 12:00:00 AM	01/06/2021 12:00:00 AM	01/06/2021 12:00:00 AM
SR21001193	NEW	"""Building, residential"""	"""BLD-RES"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Cinc Building Dept	2021-01-06	2021-01-06	2022-01-06	"""2933 FAIRFIELD AV, CINC - GJ1845734374"""	45206	39.1311653283204	-84.4726534939901	01/06/2021 12:00:00 AM	01/06/2021 12:00:00 AM	01/06/2021 12:00:00 AM
SR21001047	NEW	"""Building, residential"""	"""BLD-RES"""	"""Yard gate lock preventing egress in an emergency situation."""	Cinc Building Dept	2021-01-06	2021-01-06	2022-01-06	"""2926 VAUGHN ST - GJ1553034579 """	45219	39.1337384698599	-84.5064261396233	01/06/2021 12:00:00 AM	01/06/2021 12:00:00 AM	01/06/2021 12:00:00 AM
SR21000753	OPEN	"""Building, residential"""	"""BLD-RES"""	"""Bedroom ceiling collapsed. Foul odors from the ceiling area that had collapsed and mold issues in the section. """	Cinc Building Dept	2021-01-05	2021-01-06	2022-01-05	"""3627 MONTGOMERY RD - GJ1874035982 """	45207	39.1455709030084	-84.4688678240793	01/05/2021 12:00:00 AM	01/06/2021 12:00:00 AM	01/06/2021 12:00:00 AM
SR21000322	OPEN	"""Building, residential"""	"""BLD-RES"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Cinc Building Dept	2021-01-04	2021-01-06	2022-01-04	"""2219 STRATFORD AV, CINC - GJ1408833419"""	45219	39.1236599544266	-84.5234571986158	01/04/2021 12:00:00 AM	01/06/2021 12:00:00 AM	01/06/2021 12:00:00 AM
SR21000064	OPEN	"""Building, residential"""	"""BLD-RES"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Cinc Building Dept	2021-01-02	2021-01-06	2022-01-02	"""1751 GILSEY AV, CINC - GJ0893533050"""	45205	39.1215812343673	-84.5831263608594	01/02/2021 12:00:00 AM	01/06/2021 12:00:00 AM	01/06/2021 12:00:00 AM
SR21001156	CLOS	"""Building, residential"""	"""BLD-RES"""	"""Request entered through the Web. Refer to Intake Questions for further description."""	Cinc Building Dept	2021-01-06	2021-01-07	2022-01-06	"""657 W MCMICKEN AV, CINC - GJ1330033349"""	45214	39.1232230134051	-84.5325763582437	01/06/2021 12:00:00 AM	01/07/2021 12:00:00 AM	01/07/2021 12:00:00 AM
SR21000885	CLOS	"""Building, residential"""	"""BLD-RES"""	"""No hot water for building. no electric in common areas"""	Cinc Building Dept	2021-01-05	2021-01-07	2022-01-05	"""2749 HARRISON AV - GJ0810535266 """	45211	39.1417274603324	-84.5920428817612	01/05/2021 12:00:00 AM	01/07/2021 12:00:00 AM	01/07/2021 12:00:00 AM
SR21000704	OPEN	"""Building, residential"""	"""BLD-RES"""	"""No heat for 3 years"""	Cinc Building Dept	2021-01-05	2021-01-07	2022-01-05	"""3529 WERK RD - GJ0568035118 """	45238	39.1409755000826	-84.6201320319198	01/05/2021 12:00:00 AM	01/07/2021 12:00:00 AM	01/07/2021 12:00:00 AM
